Epoch 65/100 | Loss: 0.4199 | Acc: 0.0750 | AUC: nan | Time: 00:03:11
Epoch 66/100 | Loss: 0.4194 | Acc: 0.0000 | AUC: nan | Time: 00:03:13
Epoch 67/100 | Loss: 0.4193 | Acc: 0.0000 | AUC: nan | Time: 00:03:16
Epoch 68/100 | Loss: 0.4121 | Acc: 0.0750 | AUC: nan | Time: 00:03:19
Epoch 69/100 | Loss: 0.4080 | Acc: 0.0000 | AUC: nan | Time: 00:03:22
Epoch 70/100 | Loss: 0.4010 | Acc: 0.1500 | AUC: nan | Time: 00:03:24
Epoch 71/100 | Loss: 0.3968 | Acc: 0.0500 | AUC: nan | Time: 00:03:27
Epoch 72/100 | Loss: 0.3980 | Acc: 0.1250 | AUC: nan | Time: 00:03:30
Epoch 73/100 | Loss: 0.3854 | Acc: 0.0000 | AUC: nan | Time: 00:03:33
Epoch 74/100 | Loss: 0.3863 | Acc: 0.1500 | AUC: nan | Time: 00:03:36
Epoch 75/100 | Loss: 0.3904 | Acc: 0.0000 | AUC: nan | Time: 00:03:39
Epoch 76/100 | Loss: 0.3846 | Acc: 0.1500 | AUC: nan | Time: 00:03:42
Epoch 77/100 | Loss: 0.3702 | Acc: 0.0000 | AUC: nan | Time: 00:03:45
Epoch 78/100 | Loss: 0.3717 | Acc: 0.1500 | AUC: nan | Time: 00:03:48
Epoch 79/100 | Loss: 0.3682 | Acc: 0.0750 | AUC: nan | Time: 00:03:50
Epoch 80/100 | Loss: 0.3550 | Acc: 0.0750 | AUC: nan | Time: 00:03:53
Epoch 81/100 | Loss: 0.3540 | Acc: 0.1500 | AUC: nan | Time: 00:03:56
Epoch 82/100 | Loss: 0.3455 | Acc: 0.0500 | AUC: nan | Time: 00:03:59
Epoch 83/100 | Loss: 0.3360 | Acc: 0.1000 | AUC: nan | Time: 00:04:01
Epoch 84/100 | Loss: 0.3342 | Acc: 0.1000 | AUC: nan | Time: 00:04:04
Epoch 85/100 | Loss: 0.3404 | Acc: 0.0750 | AUC: nan | Time: 00:04:07
Epoch 86/100 | Loss: 0.3240 | Acc: 0.0750 | AUC: nan | Time: 00:04:10
Epoch 87/100 | Loss: 0.3209 | Acc: 0.1000 | AUC: nan | Time: 00:04:13
Epoch 88/100 | Loss: 0.3191 | Acc: 0.0500 | AUC: nan | Time: 00:04:17
Epoch 89/100 | Loss: 0.3108 | Acc: 0.1000 | AUC: nan | Time: 00:04:20
Epoch 90/100 | Loss: 0.3002 | Acc: 0.1000 | AUC: nan | Time: 00:04:23
Epoch 91/100 | Loss: 0.3068 | Acc: 0.0500 | AUC: nan | Time: 00:04:26
Epoch 92/100 | Loss: 0.2903 | Acc: 0.0750 | AUC: nan | Time: 00:04:30
Epoch 93/100 | Loss: 0.2896 | Acc: 0.1250 | AUC: nan | Time: 00:04:33
Epoch 94/100 | Loss: 0.2816 | Acc: 0.0750 | AUC: nan | Time: 00:04:35
Epoch 95/100 | Loss: 0.2754 | Acc: 0.1000 | AUC: nan | Time: 00:04:38
Epoch 96/100 | Loss: 0.2716 | Acc: 0.0750 | AUC: nan | Time: 00:04:41
Epoch 97/100 | Loss: 0.2674 | Acc: 0.1000 | AUC: nan | Time: 00:04:44
Epoch 98/100 | Loss: 0.2636 | Acc: 0.0250 | AUC: nan | Time: 00:04:46
Epoch 99/100 | Loss: 0.2549 | Acc: 0.0750 | AUC: nan | Time: 00:04:49
Epoch 100/100 | Loss: 0.2660 | Acc: 0.0750 | AUC: nan | Time: 00:04:52
Epoch 1/10 | Loss: 0.4518 | Acc: 0.0000 | AUC: nan | Time: 00:01:35
Epoch 2/10 | Loss: 0.4339 | Acc: 0.1233 | AUC: nan | Time: 00:02:53
Epoch 3/10 | Loss: 0.4163 | Acc: 0.0267 | AUC: nan | Time: 00:04:11
Epoch 4/10 | Loss: 0.3950 | Acc: 0.0575 | AUC: nan | Time: 00:05:28
Epoch 5/10 | Loss: 0.3838 | Acc: 0.0675 | AUC: nan | Time: 00:06:44
Epoch 6/10 | Loss: 0.3730 | Acc: 0.0858 | AUC: nan | Time: 00:07:59
Epoch 7/10 | Loss: 0.3653 | Acc: 0.1000 | AUC: nan | Time: 00:09:17
Epoch 8/10 | Loss: 0.3610 | Acc: 0.0825 | AUC: nan | Time: 00:10:37
Epoch 9/10 | Loss: 0.3527 | Acc: 0.0942 | AUC: nan | Time: 00:11:52
Epoch 10/10 | Loss: 0.3458 | Acc: 0.0358 | AUC: nan | Time: 00:13:09
Epoch 11/20 | Loss: 0.3356 | Acc: 0.0850 | AUC: nan | Time: 00:01:35
Epoch 12/20 | Loss: 0.3259 | Acc: 0.0533 | AUC: nan | Time: 00:02:55
Epoch 13/20 | Loss: 0.3175 | Acc: 0.0942 | AUC: nan | Time: 00:04:15
Epoch 14/20 | Loss: 0.3130 | Acc: 0.1017 | AUC: nan | Time: 00:05:34
Epoch 15/20 | Loss: 0.3058 | Acc: 0.0842 | AUC: nan | Time: 00:06:52
Epoch 16/20 | Loss: 0.2959 | Acc: 0.0475 | AUC: nan | Time: 00:08:08
Epoch 17/20 | Loss: 0.2926 | Acc: 0.0783 | AUC: nan | Time: 00:09:24
Epoch 18/20 | Loss: 0.2845 | Acc: 0.0817 | AUC: nan | Time: 00:10:41
Epoch 19/20 | Loss: 0.2719 | Acc: 0.0800 | AUC: nan | Time: 00:11:58
Epoch 20/20 | Loss: 0.2607 | Acc: 0.0908 | AUC: nan | Time: 00:13:15
Epoch 21/30 | Loss: 0.2495 | Acc: 0.0792 | AUC: nan | Time: 00:01:34
Epoch 22/30 | Loss: 0.2410 | Acc: 0.0808 | AUC: nan | Time: 00:02:48
Epoch 23/30 | Loss: 0.2287 | Acc: 0.0608 | AUC: nan | Time: 00:04:04
Epoch 24/30 | Loss: 0.2243 | Acc: 0.0775 | AUC: nan | Time: 00:05:19
Epoch 25/30 | Loss: 0.2167 | Acc: 0.0642 | AUC: nan | Time: 00:06:32
Epoch 26/30 | Loss: 0.2108 | Acc: 0.0883 | AUC: nan | Time: 00:07:46
Epoch 27/30 | Loss: 0.2007 | Acc: 0.0817 | AUC: nan | Time: 00:09:01
Epoch 28/30 | Loss: 0.2002 | Acc: 0.0808 | AUC: nan | Time: 00:10:16
Epoch 29/30 | Loss: 0.1905 | Acc: 0.0950 | AUC: nan | Time: 00:11:31
Epoch 30/30 | Loss: 0.1914 | Acc: 0.0692 | AUC: nan | Time: 00:12:48
